施術,先に受けた施術,次に受ける施術,部位条件,必要な間隔,同日可否,実施順,条件・例外,医師確認,基準版,先_別名,次_別名
ボトックス注射（通常）→スマートサイドドットレーザー（2回目以降）,ボトックス注射（通常）,スマートサイドドットレーザー（2回目以降）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ボトックス・ボトックス注射・ボツリヌストキシン・エラボトックス・小顔・シワ,スマサイ・スマートサイドドット・スマートサイドドットレーザー
マイクロボトックス→スマートサイドドットレーザー（2回目以降）,マイクロボトックス,スマートサイドドットレーザー（2回目以降）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ,スマサイ・スマートサイドドット・スマートサイドドットレーザー
テノールNEO（テノールネオ）→スマートサイドドットレーザー（2回目以降）,テノールNEO（テノールネオ）,スマートサイドドットレーザー（2回目以降）,同部位,同日,可,,,不要,20250309_秋田ver,テノールネオ・テノールNEO・テノール・たるみ・引き締め,スマサイ・スマートサイドドット・スマートサイドドットレーザー
フラルスキン（トレチノイン）→スマートサイドドットレーザー（2回目以降）,フラルスキン（トレチノイン）,スマートサイドドットレーザー（2回目以降）,同部位,1週間,同部位は不可／別部位は可,,トレチノインのみの場合／別部位の場合は同日可,不要,20250309_秋田ver,フラルスキン・トレチ・トレチノイン・ハイドロキノン,スマサイ・スマートサイドドット・スマートサイドドットレーザー
部分シミ治療（トレチノイン）→スマートサイドドットレーザー（2回目以降）,部分シミ治療（トレチノイン）,スマートサイドドットレーザー（2回目以降）,同部位／別部位,同部位：4週間／別部位：翌日,不可,,,不要,20250309_秋田ver,部分シミ・トレチ・トレチノイン・シミ,スマサイ・スマートサイドドット・スマートサイドドットレーザー
mikoメソッド（首いぼ治療）→スマートサイドドットレーザー（2回目以降）,mikoメソッド（首いぼ治療）,スマートサイドドットレーザー（2回目以降）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ,スマサイ・スマートサイドドット・スマートサイドドットレーザー
ほくろ切除・ほくろ除去→スマートサイドドットレーザー（2回目以降）,ほくろ切除・ほくろ除去,スマートサイドドットレーザー（2回目以降）,同部位,上皮化後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ほくろ切除・ほくろ除去・ほくろ・ほくろ取り,スマサイ・スマートサイドドット・スマートサイドドットレーザー
ボライト（スキンブースター）→スマートサイドドットレーザー（2回目以降）,ボライト（スキンブースター）,スマートサイドドットレーザー（2回目以降）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ボライト・スキンブースター・ヒアルロン酸・ジュビダーム,スマサイ・スマートサイドドット・スマートサイドドットレーザー
稗粒腫（はいりゅうしゅ）除去→スマートサイドドットレーザー（2回目以降）,稗粒腫（はいりゅうしゅ）除去,スマートサイドドットレーザー（2回目以降）,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,稗粒腫・はいりゅうしゅ・ぶつぶつ・ブツブツ,スマサイ・スマートサイドドット・スマートサイドドットレーザー
ヴェルヴェットスキン→スマートサイドドットレーザー（2回目以降）,ヴェルヴェットスキン,スマートサイドドットレーザー（2回目以降）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ヴェルヴェットスキン・ヴェルヴェット・ベルベットスキン・ダーマペン・コラーゲンピール,スマサイ・スマートサイドドット・スマートサイドドットレーザー
ダーマペン4→スマートサイドドットレーザー（2回目以降）,ダーマペン4,スマートサイドドットレーザー（2回目以降）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ダーマペン・ダーマペン4・毛穴・ニキビ跡,スマサイ・スマートサイドドット・スマートサイドドットレーザー
HARG療法→スマートサイドドットレーザー（2回目以降）,HARG療法,スマートサイドドットレーザー（2回目以降）,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛,スマサイ・スマートサイドドット・スマートサイドドットレーザー
スカルプ・プラセンタエッセンス→スマートサイドドットレーザー（2回目以降）,スカルプ・プラセンタエッセンス,スマートサイドドットレーザー（2回目以降）,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛,スマサイ・スマートサイドドット・スマートサイドドットレーザー
コラーゲンピール（マッサージピール）→スマートサイドドットレーザー（2回目以降）,コラーゲンピール（マッサージピール）,スマートサイドドットレーザー（2回目以降）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,コラーゲンピール・マッサージピール・PRX・ハリ,スマサイ・スマートサイドドット・スマートサイドドットレーザー
サーマクール→スマートサイドドットレーザー（2回目以降）,サーマクール,スマートサイドドットレーザー（2回目以降）,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,サーマクール・サーマ・たるみ・引き締め・リフトアップ,スマサイ・スマートサイドドット・スマートサイドドットレーザー
ミラドライ→スマートサイドドットレーザー（2回目以降）,ミラドライ,スマートサイドドットレーザー（2回目以降）,不明,-（原表記）,不明,,原表は「-」ですが意味が明示されていないため、可否・間隔を断定できません,必要,20250309_秋田ver,ミラドライ・ワキガ・腋臭・多汗症・わき汗,スマサイ・スマートサイドドット・スマートサイドドットレーザー
医療レーザー脱毛→スマートサイドドットレーザー（2回目以降）,医療レーザー脱毛,スマートサイドドットレーザー（2回目以降）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,脱毛・医療脱毛・レーザー脱毛・全身脱毛・顔脱毛・VIO脱毛・ひげ脱毛・メンズ脱毛,スマサイ・スマートサイドドット・スマートサイドドットレーザー
タトゥー除去（刺青除去）→スマートサイドドットレーザー（2回目以降）,タトゥー除去（刺青除去）,スマートサイドドットレーザー（2回目以降）,同部位,3か月,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,タトゥー・タトゥー除去・刺青・いれずみ・入れ墨,スマサイ・スマートサイドドット・スマートサイドドットレーザー
